"Scholl","W.L.","Operating.Expenses.per.Team.Men.s.Team","Revenues.Men.s.Team","Expenses.Men.s.Team","Coference","clustergroup"
"178","St. Francis (NY)",0.515,270264,1358525,1358525,"Northeast Conference",2
"179","Texas-Arlington",0.515,631778,2557576,2557576,"Sun Belt Conference",2
"180","UCLA",0.515,2499540,11959355,15468381,"Pac-12 Conference",3
"181","Hampton",0.514,339304,1828090,1460137,"Big South Conference",2
"182","Robert Morris",0.514,740364,2661978,2661978,"Northeast Conference",2
"183","American",0.5,297484,2072510,2072510,"Patriot League",2
"184","Coastal Carolina",0.5,501274,2243214,2243214,"Sun Belt Conference",2
"185","Grambling",0.5,326484,913266,913266,"Southwestern Athletic Conf.",2
"186","Howard",0.5,112258,1338284,1338284,"Mid-Eastern Athletic Conf.",2
"187","Illinois-Chicago",0.5,409178,2248503,2248503,"Horizon League",2
"189","Missouri State",0.5,782348,2808838,2808838,"Missouri Valley Conference",2
"190","Northern Illinois",0.5,444414,1775696,1775696,"Mid-American Conference",2
"191","Portland State",0.5,431247,1809651,1809651,"Big Sky Conference",2
"192","South Alabama",0.5,434073,2313701,2052778,"Sun Belt Conference",2
"193","South Carolina",0.5,244941,785619,785619,"Southeastern Conference",2
"194","Southern Utah",0.5,395517,1274977,1301285,"Big Sky Conference",2
"195","Ball State",0.485,611752,1975432,1975432,"Mid-American Conference",2
"196","Butler",0.485,1077590,8228482,5760815,"Big East Conference",3
"197","Connecticut",0.485,3045093,9325922,9325922,"American Athletic Conference",3
"198","Holy Cross",0.485,272622,2282921,2282921,"Patriot League",2
"199","IUPUI",0.485,447875,1928860,1928860,"Horizon League",2
"200","North Florida",0.485,331392,1532649,1532649,"ASUN Conference",2
"201","Oakland",0.485,376624,2184404,1940265,"Horizon League",2
"202","Southern California",0.485,1346460,6275440,6901843,"Pac-12 Conference",3
"203","Cornell",0.484,226514,1143930,1143930,"The Ivy League",2
"204","Indiana State",0.484,627302,2129934,2129934,"Missouri Valley Conference",2
"205","Sacramento State",0.484,471246,1667359,1667359,"Big Sky Conference",2
"206","Stanford",0.484,1303284,6769220,7143168,"Pac-12 Conference",3
"207","Cal State Fullerton",0.471,474888,2114807,2114807,"Big West Conference",2
"208","Eastern Washington",0.471,438840,1630809,1630808,"Big Sky Conference",2
"209","Longwood",0.471,315693,1837437,1640350,"Big South Conference",2
"210","Northern Iowa",0.471,582756,3550793,3550793,"Missouri Valley Conference",2
"211","Pepperdine",0.471,508079,3975688,3975688,"West Coast Conference",2
"212","Canisius",0.469,266922,1639094,1639094,"Metro Atlantic Athletic Conference",2
"213","Eastern Michigan",0.469,450087,2170870,2170870,"Mid-American Conference",2
"214","Massachusetts-Lowell",0.469,330111,2001656,1882325,"America East Conference",2
"215","Miami (OH)",0.469,387561,2234349,2234349,"Mid-American Conference",2
"216","Missouri",0.469,1759741,12586990,8255259,"Southeastern Conference",3
"217","Montana State",0.469,573676,1833808,2094896,"Metro Atlantic Athletic Conference",2
"218","Sacred Heart",0.469,245675,1496346,1496346,"Northeast Conference",2
"219","Southern Methodist",0.469,1511850,7590481,7590481,"American Athletic Conference",3
"220","Stephen F. Austin",0.467,501822,2015066,2015066,"Southland Conference",2
"221","Boston University",0.455,388475,2669686,2669686,"Patriot League",2
"222","Valparaiso",0.455,473728,2461689,2415050,"Missouri Valley Conference",2
"223","Bethune-Cookman",0.452,306232,1079602,1079602,"Mid-Eastern Athletic Conf.",2
"224","Boston College",0.452,1754150,7225974,6872835,"Atlantic Coast Conference",3
"225","Nicholls State",0.452,208663,821452,798687,"Southland Conference",2
"226","Ohio",0.452,438308,3337404,3337404,"Mid-American Conference",2
"227","Rutgers",0.452,1773891,7545360,7545360,"Big Ten Conference",3
"228","William & Mary",0.452,473110,3970949,3970949,"Colonial Athletic Association",2
"229","Cal State Long Beach",0.441,495713,2412791,2412791,"Big West Conference",2
"231","Eastern Illinois",0.438,289850,1146676,1146676,"Ohio Valley Conference",2
"232","Florida Gulf Coast",0.438,354089,1589474,1589474,"ASUN Conference",2
"233","Georgia Tech",0.438,1542063,6910271,7095493,"Atlantic Coast Conference",3
"234","Miami (FL)",0.438,2595829,9988284,8895333,"Atlantic Coast Conference",3
"235","New Mexico",0.438,844544,4206654,4206654,"Mountain West Conference",2
"236","Pacific",0.438,715769,3181522,3181522,"West Coast Conference",2
"237","Penn State",0.438,1742760,11344446,7343831,"Big Ten Conference",3
"238","Texas A&M",0.438,2019264,12349705,11818860,"Southeastern Conference",3
"239","Texas A&M-Corpus Christi",0.438,537550,1901648,1901648,"Southland Conference",2
"240","South Dakota",0.433,357150,1469868,1469868,"The Summit League",2
"241","Wagner",0.433,205660,1520014,1487551,"Northeast Conference",2
"242","Central Arkansas",0.424,415201,1295287,1295287,"Southland Conference",2
"243","James Madison",0.424,515385,2709807,2709807,"Colonial Athletic Association",2
"244","Notre Dame",0.424,1789870,4153208,8331273,"Atlantic Coast Conference",3
"245","Pittsburgh",0.424,2410918,13220336,11013283,"Atlantic Coast Conference",3
"246","Saint Joseph's",0.424,731463,6152876,6152876,"Atlantic 10 Conference",2
"247","Eastern Kentucky",0.419,361924,1576265,1576265,"Ohio Valley Conference",2
"248","West Virginia",0.417,2928859,8484584,10798893,"Big 12 Conference",3
"249","Arkansas State",0.406,514978,1578156,1578156,"Sun Belt Conference",2
"250","Arkansas-Pine Bluff",0.406,252993,833958,833958,"Southwestern Athletic Conf.",2
"252","Drexel",0.406,489257,2760011,2760011,"Colonial Athletic Association",2
"253","Jackson State",0.406,108201,676673,676673,"Southwestern Athletic Conf.",2
"254","Niagara",0.406,493252,1683937,1683937,"Metro Atlantic Athletic Conference",2
"255","Northwestern",0.406,1350230,12669660,10646711,"Big Ten Conference",3
"256","Rice",0.406,686388,3169654,3169654,"Conference USA",2
"257","Citadel",0.4,306303,1613769,1477703,"Southern Conference",2
"258","Houston Baptist",0.4,419424,1345408,1345408,"Southland Conference",2
"259","Monmouth",0.4,469385,2795919,2795919,"Big Sky Conference",2
"260","North Dakota",0.4,496687,1943907,1943907,"The Summit League",2
"261","Troy",0.4,147088,2198323,2604565,"Sun Belt Conference",2
"262","Boise State",0.394,750899,5146160,3678140,"Mountain West Conference",2
"263","Morehead State",0.394,298334,1361968,1361968,"Ohio Valley Conference",2
"264","Richmond",0.394,940967,4782542,4782542,"Atlantic 10 Conference",2
"265","Alabama State",0.387,180911,992694,992694,"Southwestern Athletic Conf.",2
"266","Florida A&M",0.387,279905,1033463,1033463,"Mid-Eastern Athletic Conf.",2
"267","Marist",0.387,310376,2358993,2358993,"Metro Atlantic Athletic Conference",2
"268","Tennessee-Martin",0.387,255807,1270841,1119003,"Ohio Valley Conference",2
"269","Cal State Northridge",0.382,511526,2238825,2438136,"Big West Conference",5
"270","Albany (NY)",0.375,289366,2109818,1799859,"America East Conference",5
"271","Chattanooga",0.375,416048,1940945,1940945,"Southern Conference",5
"272","Colorado State",0.375,836359,4415218,4415218,"Mountain West Conference",5
"273","Fordham",0.375,1177465,5075355,5075355,"Atlantic 10 Conference",5
"274","Jacksonville",0.375,408306,2025816,2025816,"ASUN Conference",5
"275","Oklahoma State",0.375,1568727,12659706,6700510,"Big 12 Conference",3
"276","Youngstown State",0.375,312350,1555175,1555175,"Horizon League",5
"277","Dartmouth",0.367,312916,1131199,1131199,"The Ivy League",5
"278","Idaho State",0.367,376990,1461637,1461637,"Big Sky Conference",5
"279","Illinois",0.364,1562280,21419589,10480939,"Big Ten Conference",3
"280","Columbia",0.357,294014,1445658,1445658,"The Ivy League",5
"281","Central Connecticut State",0.355,65936,1402297,1402297,"Northeast Conference",5
"282","Detroit Mercy",0.355,535940,3276678,3276678,"Horizon League",5
"283","Mercer",0.355,223825,2062738,2062738,"Southern Conference",5
"284","Northwestern State",0.355,185817,1132840,1132840,"Southland Conference",5
"285","Savannah State",0.355,98222,629174,581988,"Southern Intercol. Ath. Conf.",5
"286","UC-Davis",0.355,461142,2395167,2395167,"Big West Conference",5
"287","Wake Forest",0.355,1302561,9148670,8805630,"Atlantic Coast Conference",3
"288","Appalachian State",0.344,544143,1952593,1952593,"Sun Belt Conference",5
"289","Elon",0.344,466254,3221829,3221829,"Colonial Athletic Association",5
"290","Evansville",0.344,472613,2570477,2570477,"Missouri Valley Conference",5
"291","Georgia",0.344,1479200,10693803,7756002,"Southeastern Conference",3
"292","Loyola (MD)",0.344,297484,2072510,2072510,"Patriot League",5
"293","Manhattan",0.344,426855,2455366,2455366,"Metro Atlantic Athletic Conference",5
"294","Massachusetts",0.344,824262,4025395,4025395,"Atlantic 10 Conference",5
"295","Middle Tennessee",0.344,722435,2982636,2982636,"Conference USA",5
"296","Missouri-Kansas City",0.344,472426,3902606,2246404,"Western Athletic Conference",5
"297","Oral Roberts",0.344,637892,2300880,2085974,"The Summit League",5
"298","VMI",0.344,241928,1547786,1547786,"Southern Conference",5
"299","Washington State",0.344,751369,6171373,5483898,"Pac-12 Conference",5
"300","Bryant",0.333,323259,1883381,1883381,"Northeast Conference",5
"301","Lafayette",0.333,179005,1938231,1938231,"Patriot League",5
"302","Alcorn State",0.323,114031,533743,533743,"Southwestern Athletic Conf.",5
"303","Cleveland State",0.323,704618,2122220,2140282,"Horizon League",5
"304","East Carolina",0.323,917519,3945332,3942406,"American Athletic Conference",5
"305","La Salle",0.323,1095427,3558014,3558014,"Atlantic 10 Conference",5
"306","Little Rock",0.323,519698,1107986,2126312,"Sun Belt Conference",5
"307","Northern Arizona",0.323,583330,1805164,1805164,"Big Sky Conference",5
"308","SIU Edwardsville",0.323,306306,1348897,1342465,"Ohio Valley Conference",5
"309","Southeast Missouri State",0.323,203120,1304144,1304144,"Ohio Valley Conference",5
"310","Western Illinois",0.323,348195,1190756,1190756,"The Summit League",5
"311","North Alabama",0.313,315462,1159508,1159508,"ASUN Conference",5
"312","Saint Peter's",0.313,279753,1641425,1641425,"Metro Atlantic Athletic Conference",5
"313","Towson",0.313,415561,2259918,2259918,"Colonial Athletic Association",5
"314","Binghamton",0.303,329097,1753592,1753592,"America East Conference",5
"315","North Carolina-Wilmington",0.303,461029,2317837,2317837,"Colonial Athletic Association",5
"316","UC-Riverside",0.303,465974,2542300,2485812,"Big West Conference",5
"317","Morgan State",0.3,483799,1517680,1517680,"Mid-Eastern Athletic Conf.",5
"318","Tennessee State",0.3,206677,1414097,1330636,"Ohio Valley Conference",5
"319","Fairfield",0.29,540001,3280514,3280514,"Metro Atlantic Athletic Conference",5
"320","McNeese State",0.29,256889,1162753,1162753,"Atlantic 10 Conference",5
"321","Milwaukee",0.29,484400,2588033,2588033,"Horizon League",5
"322","Mount St. Mary's",0.29,357059,1815414,1815414,"Northeast Conference",5
"323","Vanderbilt",0.281,1339664,10876435,9901818,"Southeastern Conference",3
"324","Charlotte",0.276,670027,3295523,3295523,"Conference USA",5
"325","Texas-El Paso",0.276,775724,5016121,4247850,"Conference USA",5
"326","George Washington",0.273,441964,3548937,3548937,"Atlantic 10 Conference",5
"327","Denver",0.267,562118,2532725,2532725,"The Summit League",5
"328","Tennessee Tech",0.258,227125,1161305,1161305,"Ohio Valley Conference",5
"329","University of California,Berkeley",0.258,1377224,7840731,6131940,"Pac-12 Conference",5
"330","Western Michigan",0.25,404706,2243842,2243842,"Mid-American Conference",5
"331","Wyoming",0.25,712472,3329650,3329650,"Mountain West Conference",5
"332","Coppin State",0.242,200190,785999,785999,"Mid-Eastern Athletic Conf.",5
"333","South Carolina State",0.235,1146997,11093661,8561964,"Mid-Eastern Athletic Conf.",3
"334","Stetson",0.226,268370,2386051,2386051,"ASUN Conference",5
"335","Maryland-Eastern Shore",0.219,237926,1438650,1000683,"Mid-Eastern Athletic Conf.",5
"336","Portland",0.219,597065,3599607,3599607,"West Coast Conference",5
"337","Southern",0.219,224315,596992,815704,"Southwestern Athletic Conf.",5
