Institution Name, Operating Expenses per Team/Men's Team , Revenues Men's Team , Expenses Men's Team , Net Income 
Fairfield University," $540,001 "," $3,280,514 "," $3,280,514 ", $-   
Liberty University," $662,073 "," $3,400,852 "," $3,400,852 ", $-   
University of North Carolina at Charlotte," $670,027 "," $3,295,523 "," $3,295,523 ", $-   
University of Wyoming," $712,472 "," $3,329,650 "," $3,329,650 ", $-   
Western Kentucky University," $849,956 "," $3,455,918 "," $3,455,918 ", $-   
College of Charleston," $713,611 "," $3,289,426 "," $3,289,426 ", $-   
Wright State University-Main Campus," $782,338 "," $3,330,147 "," $3,330,147 ", $-   
Old Dominion University," $1,407,307 "," $3,953,002 "," $3,953,002 ", $-   
University of San Diego," $594,930 "," $3,120,907 "," $3,120,907 ", $-   
Rice University," $686,388 "," $3,169,654 "," $3,169,654 ", $-   
Hofstra University," $456,954 "," $2,939,154 "," $2,939,154 ", $-   
University of the Pacific," $715,769 "," $3,181,522 "," $3,181,522 ", $-   
La Salle University," $1,095,427 "," $3,558,014 "," $3,558,014 ", $-   
New Mexico State University-Main Campus," $622,278 "," $3,077,862 "," $3,077,862 ", $-   
Georgia State University," $519,797 "," $2,917,278 "," $2,917,278 ", $-   
University of Hawaii at Manoa," $585,632 "," $2,960,055 "," $2,960,055 ", $-   
University of Toledo," $334,019 "," $2,673,988 "," $2,673,988 ", $-   
University of California-Irvine," $616,625 "," $2,953,537 "," $2,953,537 ", $-   
University at Buffalo," $757,485 "," $3,093,556 "," $3,093,556 ", $-   
Iona College," $549,745 "," $2,881,346 "," $2,881,346 ", $-   
Monmouth University," $469,385 "," $2,795,919 "," $2,795,919 ", $-   
University of Akron Main Campus," $752,096 "," $3,045,115 "," $3,045,115 ", $-   
Boston University," $388,475 "," $2,669,686 "," $2,669,686 ", $-   
University of Delaware," $506,915 "," $2,785,559 "," $2,785,559 ", $-   
Drexel University," $489,257 "," $2,760,011 "," $2,760,011 ", $-   
Middle Tennessee State University," $722,435 "," $2,982,636 "," $2,982,636 ", $-   
University of Louisiana at Lafayette," $523,170 "," $2,780,548 "," $2,780,548 ", $-   
University of North Texas," $636,066 "," $2,847,662 "," $2,847,662 ", $-   
James Madison University," $515,385 "," $2,709,807 "," $2,709,807 ", $-   
Bucknell University," $450,192 "," $2,624,075 "," $2,624,075 ", $-   
Rider University," $378,711 "," $2,508,228 "," $2,508,228 ", $-   
Stetson University," $268,370 "," $2,386,051 "," $2,386,051 ", $-   
University of Wisconsin-Milwaukee," $484,400 "," $2,588,033 "," $2,588,033 ", $-   
University of Evansville," $472,613 "," $2,570,477 "," $2,570,477 ", $-   
Marshall University," $1,088,921 "," $3,161,233 "," $3,161,233 ", $-   
Marist College," $310,376 "," $2,358,993 "," $2,358,993 ", $-   
Siena College," $1,184,716 "," $3,219,292 "," $3,219,292 ", $-   
Manhattan College," $426,855 "," $2,455,366 "," $2,455,366 ", $-   
Missouri State University-Springfield," $782,348 "," $2,808,838 "," $2,808,838 ", $-   
College of the Holy Cross," $272,622 "," $2,282,921 "," $2,282,921 ", $-   
Illinois State University," $443,952 "," $2,440,752 "," $2,440,752 ", $-   
University of Denver," $562,118 "," $2,532,725 "," $2,532,725 ", $-   
University of California-Davis," $461,142 "," $2,395,167 "," $2,395,167 ", $-   
The University of Texas at Arlington," $631,778 "," $2,557,576 "," $2,557,576 ", $-   
Robert Morris University," $740,364 "," $2,661,978 "," $2,661,978 ", $-   
California State University-Long Beach," $495,713 "," $2,412,791 "," $2,412,791 ", $-   
Florida Atlantic University," $446,857 "," $2,352,069 "," $2,352,069 ", $-   
Northern Kentucky University," $588,131 "," $2,470,374 "," $2,470,374 ", $-   
University of Hartford," $431,992 "," $2,303,817 "," $2,303,817 ", $-   
University of North Carolina Wilmington," $461,029 "," $2,317,837 "," $2,317,837 ", $-   
Miami University-Oxford," $387,561 "," $2,234,349 "," $2,234,349 ", $-   
Towson University," $415,561 "," $2,259,918 "," $2,259,918 ", $-   
University of Illinois at Chicago," $409,178 "," $2,248,503 "," $2,248,503 ", $-   
Western Michigan University," $404,706 "," $2,243,842 "," $2,243,842 ", $-   
Mercer University," $223,825 "," $2,062,738 "," $2,062,738 ", $-   
Colgate University," $334,592 "," $2,126,456 "," $2,126,456 ", $-   
Bowling Green State University-Main Campus," $763,590 "," $2,544,177 "," $2,544,177 ", $-   
American University," $297,484 "," $2,072,510 "," $2,072,510 ", $-   
Lafayette College," $179,005 "," $1,938,231 "," $1,938,231 ", $-   
Coastal Carolina University," $501,274 "," $2,243,214 "," $2,243,214 ", $-   
